                   #Radius (m)               Density (kg/m^3)              Bulk modulus (Pa)             Shear modulus (Pa)               Viscosity (Pa.s)
                2420944.186047                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2419649.767442                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2418355.348837                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2417060.930233                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2415766.511628                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2414472.093023                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2413177.674419                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2411883.255814                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2410588.837209                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2409294.418605                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2408000.000000                     930.000000                   1.000000e+30                   3.500000e+09                      15.000000
                2408000.000000                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407994.542132                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407984.842252                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407970.299624                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407950.922872                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407926.723487                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407897.715822                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407863.917080                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407825.347304                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407782.029371                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407733.988968                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407681.254589                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407623.857507                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407561.831761                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407495.214138                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407424.044145                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407348.363991                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407268.218558                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407183.655378                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407094.724601                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2407001.478969                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2406903.973782                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2406802.266867                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2406696.418541                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2406586.491580                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2406472.551177                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2406354.664905                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2406232.902677                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2406107.336707                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2405978.041463                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2405845.093623                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2405708.572035                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2405568.557664                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2405425.133547                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2405278.384743                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2405128.398283                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2404975.263117                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2404819.070065                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2404659.911759                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2404497.882588                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2404333.078645                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2404165.597670                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2403995.538989                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2403823.003457                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2403648.093398                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2403470.912543                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2403291.565973                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2403110.160050                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2402926.802358                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2402741.601641                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2402554.667733                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2402366.111498                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2402176.044760                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2401984.580240                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2401791.831490                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2401597.912819                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2401402.939235                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2401207.026367                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2401010.290404                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2400812.848023                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2400614.816318                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2400416.312734                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2400217.454996                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2400018.361038                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2399819.148936                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2399619.936834                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2399420.842876                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2399221.985139                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2399023.481555                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2398825.449850                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2398628.007468                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2398431.271505                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2398235.358638                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2398040.385053                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2397846.466383                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2397653.717632                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2397462.253113                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2397272.186375                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2397083.630139                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2396896.696231                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2396711.495514                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2396528.137823                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2396346.731900                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2396167.385329                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2395990.204475                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2395815.294415                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2395642.758883                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2395472.700202                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2395305.219227                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2395140.415285                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2394978.386114                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2394819.227807                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2394663.034755                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2394509.899590                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2394359.913129                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2394213.164325                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2394069.740208                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2393929.725837                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
